text,labels
not work in rural areas,blockers_practical
"Very Much comfortable now a days but point to be improved 
1-Graded Vegetables 
2-Graded Fruit
3-Icecream Delievery
4-General Medicine
5-Balance cash problem when ordering cash on delivery Associate don’t have change","unmet_needs,information_needs"
"I just ordered few chilled drinks, they came in paper bags which obviously got soaked. Can you please change the packaging for the products.",trust_risk
give rotten fruit and didn't get any resolution,trust_risk
what adding rs 2 extra on per order,blockers_practical
Thanks a lot blinkit ❤️ for the first time I ordered medicines from blinkit and what surprised me is that it provides free doctor consultation.,"discovery_paths,information_needs"
I am first order so discount price I am very happy so exallent blinkit app,"trigger_events,segment_markers"
"Horrible experience with charmwood bulbul market blinkit. All the time products coming dirty and messy.Biscuits and eggs broken, shampoo and oil leaked over all the food products. Happening most of the time...Total disgusted with this shop.Please close this shop.",trust_risk
Main istemal nhi karta kyuki mere paas paise nhi,blockers_practical
Handling charge is more,blockers_practical
Thank you from the bottom of my heart every single day I’m going to use blinkit no matter what much gratitude forever your fan for the initiative you took much love,habit_drivers
aap log kuch bhi offer nhi dete,discovery_paths
very good quality items,habit_drivers
yah best dilevery app hai kyu ki yah saman ke sath sath insaniyat bhi bantate Hai abhi he blinkit ke ambulance 🚑 survice ne kamal kar diya hai or toh or yah free survice hai.... please blinkit esko hamesha free rakhiye ga kyu ki aap jaise log ge hai jo insaniyat dikha rahe aapke ek service se 1 family safe ho pa Raha save ho paa raha thankyou thankyou so much blinkit...... once again you are the best,trigger_events
Very convenient in hot summer weather to have it at ur doorstep in just blinking of ur eyes.,"habit_drivers,trigger_events"
prices are high,blockers_practical
"I use none, I use bb and swiggy instamart",segment_markers
anytime when I need something urgently blinkit helps me,"trigger_events,habit_drivers"
"I have seriously wondered, why do people want things in 10 mins? It's different if you have tadka oil on stove and really need curry leaves to go in. There are only so many situations like this where you would need something in 10 mins. The value this fast delivery under 10 mins concept creates is underwhelming but the company valuations are ironically too high",blockers_practical
"Amazing service! Fast delivery, great packaging, and everything arrived on time. Very convenient and reliable. Keep up the great work, Blinkit",habit_drivers
"Vegetables were delivered in very poor condition. They were not fresh at all and some items looked almost unusable. I raised a complaint immediately, but even after that there was no stock change or replacement provided. Also, there was no proper response from customer support. This is very disappointing and not expected from Blinkit. Please improve quality control and customer service.",trust_risk
give fast service and good thing but the problem is that the product are costly,blockers_practical
Kandom is convenient to get now,trigger_events
its my first order i can't rate five star i will use this app and i like good service so I will rate a good,segment_markers
There are no guarantees for products genuine ness. kindly make sure while doing such orders due such instance it made me mentally harassed on that day as it took 3 hrs to convince the concierge that the product is not genuine.,"trust_risk,information_needs"
good beter best,habit_drivers
best product or original product,information_needs
affordable price Blinkit,blockers_practical
"always my go to app, whenever I am running out of stock",habit_drivers
blinkit has made my shopping too much easy..Thank you☺️,habit_drivers
cash on delivery available nhi h,blockers_practical
good !! app but somethings are a bit costly compared to shops .... mostly baking tools n powders are unavailable.. same with stationery items . Anyways good app,"blockers_practical,unmet_needs"
I love blinkit and mostly everything is available so it's a nice app ✨,habit_drivers
The service charges of delivery  are much higher than the others app,blockers_practical
How's the taste of that Belgium brownie chocolate?,information_needs
it gives broken items and expired products 😡,trust_risk
India's last minute app,trigger_events
quick & easy to shop..,habit_drivers
very much time taking but worth it..... but i think this is better than apna mart .... atleast it have all the things i. stock so ⭐⭐⭐,habit_drivers
best last minute app,trigger_events
"certain things in my order was too small (tiny)contrary to the product shown in the app. Also, the price was differing when I opened the app again. Hope better products next time.",trust_risk
They are helping to any customer they says that they will change the item when the item is breaked and having cracks in it otherwise they will not replace or refund it,trust_risk
Best best nest 10min s shopping aap,habit_drivers
Last minute saviour 😄,trigger_events
without blinkit bag. how we trust u. poor service,trust_risk
It's nice for emergency and you get advice of doc aswell when you order a medicine or smth related to it,trigger_events
this app was very useful for me... Whatever I needed just came in 12 mins and also the delivery partners are very polite and graceful with us! we liked it! THANKS BLINKIT 💖❤️.... one more thing I'd like t tell us please teach delivery partners some manner not all the delivery partners but 2 yash and one more. thanku a lot blinkit 💗🙏💐,habit_drivers
The problem is that they give frozen chicken. Better to buy from a meat stall closeby. If you were in mumbai or sth its still understandable,trust_risk
"Blinkit is absolutely amazing! Their grocery delivery is incredibly reliable and lightning-fast. Whenever I need daily essentials, they arrive in minutes, making life so much easier. But what truly makes Blinkit stand out is their free ambulance service. It is a fantastic, life-saving initiative that shows they genuinely care about the community. It’s rare to see an app combine top-tier convenience with such meaningful social responsibility. Highly recommend this app for speed and heart!","habit_drivers,trigger_events"
Flipkart is not charging the high price and handling charge is not applicable.,blockers_practical
